,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
0,3,123,alfa-romero,dos,convertible,rwd,delantero,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,dohc,cuatro,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,8.703703703703704,13495.0,Low,False,True,True,False
1,3,123,alfa-romero,dos,convertible,rwd,delantero,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,dohc,cuatro,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,8.703703703703704,16500.0,Low,False,True,True,False
2,1,123,alfa-romero,dos,hatchback,rwd,delantero,94.5,0.8226814031715521,0.9097222222222222,0.8762541806020067,2823,ohcv,seis,152,mpfi,2.68,3.47,9.0,154,5000.0,12.368421052631579,9.038461538461538,16500.0,Medium,False,True,True,False
3,2,164,audi,cuatro,sedán,fwd,delantero,99.8,0.8486304661220567,0.9194444444444445,0.9080267558528428,2337,ohc,cuatro,109,mpfi,3.19,3.4,10.0,102,5500.0,9.791666666666666,7.833333333333333,13950.0,Low,False,True,True,False
4,2,164,audi,cuatro,sedán,4wd,delantero,99.4,0.8486304661220567,0.9222222222222223,0.9080267558528428,2824,ohc,cinco,136,mpfi,3.19,3.4,8.0,115,5500.0,13.055555555555555,10.681818181818182,17450.0,Low,False,True,True,False
5,2,123,audi,dos,sedán,fwd,delantero,99.8,0.8519942335415667,0.9208333333333333,0.8879598662207359,2507,ohc,cinco,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,9.4,15250.0,Low,False,True,True,False
6,1,158,audi,cuatro,sedán,fwd,delantero,105.8,0.9259971167707832,0.9916666666666667,0.931438127090301,2844,ohc,cinco,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,9.4,17710.0,Low,False,True,True,False
7,1,123,audi,cuatro,wagon,fwd,delantero,105.8,0.9259971167707832,0.9916666666666667,0.931438127090301,2954,ohc,cinco,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,9.4,18920.0,Low,False,True,True,False
8,2,192,bmw,dos,sedán,rwd,delantero,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2395,ohc,cuatro,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,8.10344827586207,16430.0,Low,False,True,True,False
9,0,192,bmw,cuatro,sedán,rwd,delantero,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2395,ohc,cuatro,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,8.10344827586207,16925.0,Low,False,True,True,False
10,0,188,bmw,dos,sedán,rwd,delantero,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2710,ohc,seis,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,8.392857142857142,20970.0,Medium,False,True,True,False
11,0,188,bmw,cuatro,sedán,rwd,delantero,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2765,ohc,seis,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,8.392857142857142,21105.0,Medium,False,True,True,False
12,1,123,bmw,cuatro,sedán,rwd,delantero,103.5,0.9082172032676598,0.9291666666666667,0.931438127090301,3055,ohc,seis,164,mpfi,3.31,3.19,9.0,121,4250.0,11.75,9.4,24565.0,Medium,False,True,True,False
